,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Working capitcal Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
275,1,0.438453664,0.472307021,0.48519728,0.590856023,0.590856023,0.998732216,0.796978451,0.808975362,0.30330168,0.781208149,0.45896681,0.000543054,0.0,0.170831402,0.170831402,0.170831402,0.185969557,0.312477895,0.017907649,0.076133865,0.143631845,0.021890328,0.836882174,0.68833813,0.68833813,0.217472984,0.00038829,0.263289585,0.370142692,0.005350373,0.003696878,0.629973904,0.010556361,0.158750794,0.841249206,0.005050039,0.379327776,0.00677647,0.077515593,0.144913657,0.401738692,0.071964018,0.000521441,0.012110137,0.024354839,0.008345696,0.385586034,0.013620226,0.739628131,0.325170241,0.374470391,0.018255231,0.004556223,0.000750921,0.128806228,0.335024037,0.27617704,0.0024074,0.770936612,0.730948995,0.333495245,0.010000537,0.917744617,0.001976008,0.027683339,0.593899504,0.671544605,0.497376324,0.770936612,0.333495245,0.118577177,0.61789925,0.455248187,0.535724747,0.309543579,0.053435993,0,0.754783249,0.012317524,0.621697304,0.590853983,0.835936293,0.282434527,0.026645611,0.564353556,1,0.022717205
276,1,0.432116219,0.480047972,0.472402163,0.590942504,0.590942504,0.998831009,0.796994083,0.808919638,0.303122339,0.78117657,0.458232053,0.000334033,0.0,0.147612827,0.147612827,0.147612827,0.169518767,0.308587395,0.025969115,0.079472356,0.133840476,0.021745745,0.847753576,0.576145656,0.576145656,0.205486418,0.000297257,0.263423239,0.34826385,0.003461456,0.00275176,0.629602334,0.023292206,0.213199504,0.786800496,0.00494673,0.384378292,0.006482159,0.082156757,0.138933715,0.408737405,0.056971514,0.000547817,0.011550827,0.039193548,0.080046414,0.357386762,0.050820067,0.672385127,0.431884757,0.426640576,0.000184151,0.003488519,0.0013821155,0.220210063,0.331267219,0.276952215,0.000288648,0.991243638,0.720511384,0.3467284,0.0,0.910202775,0.001932065,0.049651097,0.59385447,0.671519635,0.348477617,0.991243638,0.3467284,0.110933234,0.5572265,0.448938629,0.500412453,0.286311605,0.080394885,0,0.709355768,0.001862862,0.62283854,0.590942236,0.825856753,0.291671418,0.026519158,0.563411921,1,0.015929276
386,1,0.506020572,0.571140427,0.564644788,0.604995748,0.604995748,0.999054824,0.797482148,0.809409961,0.303506882,0.781675659,0.457438581,0.000430043,0.0,0.187012768,0.187012768,0.187012768,0.231918313,0.304413949,0.035361556,0.110740168,0.183550501,0.0221269,0.84804064,0.689684418,0.689684418,0.217626187,0.000618519,0.264424086,0.364386573,0.00992259,0.006894061,0.631635868,0.01755989,0.195090244,0.804909756,0.00535863,0.389565249,0.005698547,0.110712134,0.181977226,0.403532581,0.109445277,0.001057085,0.005978217,0.041290323,0.031878736,0.401947039,0.02818753,0.812192019,0.47028587,0.571225627,0.08340952,0.007926602,0.004093959,0.107871014,0.334354796,0.277243098,0.005506998,0.523199694,0.739338345,0.334480684,0.017198354,0.93604721,0.00241313,0.012861681,0.593993938,0.671605063,0.289929993,0.523199694,0.334480684,0.137903051,0.674785707,0.463465078,0.525111558,0.323218964,0.029409869,0,0.809742773,0.004239182,0.624368347,0.604992165,0.841902317,0.28751402,0.02721274,0.566595339,1,0.01777513
387,1,0.369765515,0.387483646,0.412923604,0.532906211,0.532906211,0.994728504,0.792397444,0.804617527,0.303672929,0.776653611,0.434323914,0.000245025,0.0,0.147697105,0.147697105,0.147697105,0.192209511,0.313079154,0.001013355,0.075156746,0.151690894,0.021207904,0.847978114,0.689333181,0.689333181,0.217587448,0.000366829,0.263577873,0.363082598,0.013703545,0.007838555,0.630540335,0.005313745,0.108655561,0.891344439,0.005160439,0.375031035,0.005365848,0.075146156,0.150697534,0.396121234,0.010494753,0.000403762,0.01563422,0.010483871,0.001239663,0.374392257,0.014914226,0.782081463,0.138038759,0.201193901,0.07548088,0.009203663,0.014091937,0.028007302,0.32063427,0.277274026,0.011967853,0.23387432,0.733978351,0.32735002,0.040365835,0.872770124,0.001938263,0.053477014,0.59419376,0.671490161,0.572964842,0.23387432,0.32735002,0.123317461,0.631290809,0.456573227,0.493413326,0.312848797,0.021389236,0,0.70462502,0.000196676,0.623791355,0.532907123,0.83334467,0.278632809,0.026769312,0.565052036,1,0.03472942
388,1,0.448447326,0.463693851,0.486000321,0.594027011,0.594027011,0.998886587,0.797178491,0.809074182,0.303328267,0.781313693,0.464620082,0.000574057,0.0,0.152669504,0.152669504,0.152669504,0.189656802,0.323159086,0.022203064,0.087533588,0.153272577,0.021955484,0.847533496,0.688952542,0.688952542,0.217542036,0.000445036,0.263264719,0.381859841,0.003080178,0.002303219,0.630170135,0.015737878,0.187592587,0.812407413,0.004878265,0.378416312,0.005365848,0.087522595,0.152824071,0.400747297,0.112443778,0.001150416,0.005499174,0.045322581,0.007320476,0.390120079,0.011179852,0.693946502,0.167059083,0.237418557,0.010873748,0.002148231,0.000417783,0.137936522,0.347491356,0.276786974,0.002763797,0.699851784,0.72557505,0.336067037,0.008649397,0.909661538,0.001932823,0.027156104,0.593866666,0.671571038,0.761062902,0.699851784,0.336067037,0.116277679,0.641067129,0.459019918,0.605884657,0.314094871,0.089486662,0,0.748700177,0.001631394,0.62470774,0.594027393,0.834097653,0.286192814,0.026638653,0.56430859,1,0.018640915
389,1,0.201969483,0.200719581,0.228652497,0.590913677,0.590913677,0.998625335,0.796846197,0.808804413,0.303294187,0.78106471,0.45239593,0.000280028,0.0,0.142598289,0.142598289,0.142598289,0.122340928,0.305934781,0.041381188,0.030534973,0.090381863,0.021884591,0.846451872,0.685862736,0.685862736,0.217219265,0.00026514,0.260622732,0.333910808,0.009238661,0.00565948,0.630583143,0.017482377,0.194787919,0.805212081,0.005666138,0.380537842,0.005365848,0.030550263,0.089337154,0.420019212,0.236881559,0.000856218,0.007384605,0.055967742,0.032892205,0.355204541,0.003464557,0.824975696,0.518625809,0.779147972,0.065601159,0.00595091,0.002209984,0.157383058,0.319743437,0.277494679,0.008841542,0.770974307,0.740850339,0.338247123,0.005659997,0.838188848,0.0019317,0.161230348,0.593937357,0.671546723,0.144851325,0.770974307,0.338247123,0.122965531,0.538649242,0.44553612,0.433670256,0.286324208,0.031538791,0,0.51445251,0.002025634,0.623736709,0.590912389,0.80216209,0.287457823,0.02678227,0.565115664,1,0.01780831
390,1,0.377955443,0.366550371,0.430644039,0.593277505,0.593616224,0.998857007,0.795971747,0.808047055,0.301281802,0.780818253,0.446512837,0.000547055,0.0,0.17993342,0.17993342,0.17993342,0.177365983,0.306465304,0.011146906,0.089813533,0.111696919,0.021937516,0.847861298,0.688480668,0.688480668,0.216226336,0.000390112,0.262259987,0.3599158,0.013320395,0.009391918,0.630420474,0.005296419,0.108443934,0.891556066,0.010164538,0.375752377,0.005365848,0.089835035,0.112698891,0.397523924,0.047976012,0.00042608,0.014857162,0.016935484,0.070819441,0.367517695,0.014275118,0.80455494,0.305771125,0.357399284,0.148288356,0.011048447,0.015386139,0.050776373,0.320819164,0.27713837,0.006218473,0.434862463,0.735442971,0.328297235,0.017280698,0.887463919,0.001969218,0.072327145,0.594020645,0.671563944,0.043350686,0.434862463,0.328297235,0.120200814,0.63760247,0.458035669,0.494211678,0.313781123,0.021999126,0,0.68554781,0.004473786,0.624459577,0.593273612,0.831955636,0.278620179,0.026737198,0.564887266,1,0.034807971
391,1,0.270365134,0.183220672,0.291396756,0.604275069,0.604275069,0.998092546,0.795529058,0.807501008,0.302107687,0.780269901,0.459954874,0.000443044,0.0,0.13640386,0.13640386,0.13640386,0.136806278,0.31470609,0.013460986,0.040794724,0.080289222,0.02197244,0.847600386,0.686708959,0.686708959,0.217377044,0.000239063,0.25959935,0.360139339,0.003843358,0.001714937,0.630513623,0.03761114,0.239078514,0.760921486,0.005329849,0.401520523,0.005365848,0.04080968,0.079277581,0.413216099,0.070464768,0.000419993,0.015047584,0.02516129,0.011509481,0.358641822,0.00387813,0.685899314,0.330474749,0.460013777,0.027859696,0.002708956,0.000686606,0.215306993,0.336930765,0.276670019,0.003285983,0.864131971,0.718337602,0.355118569,0.006339746,0.837567977,0.001975506,0.196534715,0.593846012,0.67155574,0.13402504,0.864131971,0.355118569,0.124967581,0.623399763,0.457169489,0.536139783,0.305295272,0.072963853,0,0.503219421,0.001491817,0.623647838,0.604271234,0.770996109,0.302055638,0.026760263,0.565006653,1,0.013767926
392,1,0.434114951,0.462549062,0.480057819,0.623012727,0.623012727,0.998632614,0.79687428,0.808805976,0.303328025,0.781033552,0.486568867,0.000541054,0.0,0.156967679,0.156967679,0.156967679,0.19457313,0.331187664,0.00839421,0.082403713,0.154628305,0.022033962,0.848079837,0.689473613,0.689473613,0.217602331,0.000389688,0.264257019,0.411329682,0.012484204,0.009433091,0.6302739,0.006178243,0.119267164,0.880732836,0.024232816,0.37362861,0.005365848,0.082352175,0.15364603,0.400885289,0.052473763,0.000243474,0.025962249,0.019354839,0.008862712,0.382250514,0.000385124,0.809043853,0.386669443,0.4107257,0.000563903,0.011388844,0.0013821155,0.06211808,0.378054486,0.277069218,0.003182124,0.486479295,0.7359678,0.328927817,0.014444939,0.892959364,0.002097061,0.069170813,0.594008262,0.671564623,0.011455274,0.486479295,0.328927817,0.120351703,0.636929373,0.458001269,0.709987828,0.313628328,0.023457564,0,0.742136914,0.000439615,0.623860401,0.623009271,0.835860911,0.279259676,0.026688879,0.564618457,1,0.03137522
393,1,0.387169112,0.431748801,0.431821832,0.604166967,0.604260655,0.998291981,0.796180641,0.808175821,0.302828675,0.780371515,0.462907325,0.000523052,0.0,0.197252539,0.197252539,0.197252539,0.137751725,0.323017613,0.014428967,0.050240208,0.091511637,0.02202674,0.847471794,0.682268479,0.6784311,0.214113159,0.000386219,0.262514861,0.380155359,0.008023688,0.007542231,0.630122533,0.011361585,0.164192641,0.835807359,0.005341278,0.382917713,0.005365848,0.052160177,0.109252696,0.397022868,0.034482759,0.000383472,0.016472758,0.016612903,0.026314939,0.333325795,0.05225154,0.782837656,0.456953365,0.464654114,0.353707293,0.007687326,0.017331252,0.10805628,0.343524118,0.277088771,0.001224568,0.623239174,0.734906432,0.332568626,0.013872814,0.909487104,0.001997745,0.050615115,0.594006021,0.671653392,0.296431783,0.623239174,0.332568626,0.124576716,0.678825607,0.464862364,0.579814007,0.322062421,0.036185397,0,0.727138222,0.01992686,0.623828632,0.604161855,0.832901046,0.283018834,0.026654441,0.564409638,1,0.0218422
394,1,0.435236192,0.498855212,0.485786177,0.596556595,0.596578215,0.998961346,0.797314341,0.809251251,0.303409236,0.781504571,0.462133984,0.000331033,0.0,0.183515233,0.183515233,0.183515233,0.192020422,0.32075405,0.084274846,0.095513395,0.147924983,0.022042432,0.847922765,0.686030636,0.686030636,0.217212263,0.000466372,0.263396819,0.38088186,0.008464248,0.004795461,0.629780414,0.013273876,0.175529824,0.824470176,0.008563709,0.37950895,0.006225017,0.095502141,0.149181811,0.40875884,0.242878561,0.001097664,0.005763886,0.076612903,0.147440624,0.39233622,0.004681954,0.810300431,0.62173579,0.750830906,0.091381522,0.006807159,0.002934288,0.165140301,0.342673897,0.277330713,0.004633046,0.898106742,0.737959959,0.336845125,0.000623165,0.923855785,0.002109382,0.031571916,0.5939401,0.671561487,0.031316116,0.898106742,0.336845125,0.11200925,0.611322489,0.454664646,0.576034235,0.307353696,0.034351748,0,0.773658527,0.01191286,0.623871099,0.59655269,0.837513374,0.284405591,0.026595947,0.564016693,1,0.020186449
395,1,0.46853215,0.52027911,0.519888645,0.601356318,0.601356318,0.998960537,0.797282108,0.809208025,0.303354853,0.781453483,0.460530267,0.00060106,0.0,0.162066495,0.162066495,0.162066495,0.201002175,0.314564618,0.02723959,0.095187688,0.160352489,0.022069029,0.84791973,0.689202762,0.689202762,0.217562992,0.000410899,0.263988935,0.372266309,0.004463637,0.003319455,0.625121231,0.025058591,0.217552982,0.782447018,0.00497287,0.391145492,0.005365848,0.095168303,0.159346957,0.408607452,0.083958021,0.000555933,0.011362113,0.039677419,0.00709722,0.391929174,0.011368091,0.71770572,0.306712984,0.380118977,0.059089675,0.003540221,0.00201961,0.155117411,0.338888058,0.276613338,0.002741695,0.680072352,0.726869723,0.341448877,0.017401907,0.924267613,0.002130763,0.022965037,0.593872792,0.671560459,0.530582098,0.680072352,0.341448877,0.134312954,0.63129629,0.457899036,0.552306123,0.310523083,0.063429205,0,0.78260733,0.001472478,0.622197996,0.6013526,0.837737108,0.292951936,0.025965398,0.547145946,1,0.015529951
